"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73558","MH_007_Verify_Adaptive_Handler_Reaches_Summary","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","43242","TC_03_Verify_Weight","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42759","TC_37_Verify_WHR_Is_Readonly","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42517","TC_67_Verify_Temperature_Can_Be_Entered_And_Cleared","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","48631","TC_25_Verify_Pulse_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","111684","MH_019_Verify_Visit_Summary_Shows_Physical_Examination","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","61527","TC_22_Verify_BMI_Cannot_Be_Manually_Edited","chromium","2026-09-09","broken","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","76648","TC_PE_040_Verify_End_To_End_Happy_Path","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","38184","TC_32_Verify_Temperature_Can_Remain_Empty","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","48388","TC_27_Verify_PPBS_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42902","TC_10_Verify_PPBS","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","48853","TC_55_Verify_All_Required_Errors_Clear_After_Entering_Values","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","61436","TC_47_Verify_BMI_Cannot_Be_Manually_Edited","chromium","2026-09-09","broken","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","42754","TC_15_Verify_Blood_Group","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","55469","MH_008_Verify_Personal_History_Mandatory_Validation","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","46100","TC_PE_012_Verify_Nail_Abnormality_MultiSelect_Label","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","42117","TC_PE_004_Verify_Jaundice_Answer_Editable","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","38169","TC_41_Verify_Vitals_Maximum_Length","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","54604","MH_003_Verify_Personal_History_All_Items_Displayed","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","37866","TC_37_Verify_WHR_After_Multiple_Updates","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","49524","TC_26_Verify_BMI_After_Clearing_Weight","chromium","2026-09-09","failed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","43409","TC_43_Verify_Blood_Group_Options","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","38289","TC_09_Verify_Invalid_Visit_Reason_Input","chromium","2026-09-09","passed","2026-09-09","Start Visit - Visit Reason Module","StartVisit_VisitReason.spec.js","",""
"","10314","Valid login","chromium","2026-09-09","passed","2026-09-09","Login Module","Loginpage.spec.js","",""
"","42683","TC_66_Verify_BP_Diastolic_Can_Be_Entered_And_Cleared","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","38043","TC_02_Verify_Height_Input_Attributes","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","7989","Login with invalid username","chromium","2026-09-09","passed","2026-09-09","Login Module","Loginpage.spec.js","",""
"","21597","TC05 - Blank Mobile Number","chromium","2026-09-09","failed","2026-09-09","Forgot Password Module","ForgetPassword.spec.js","",""
"","77654","TC_PE_023_Verify_Oedema_In_Left_Option_Recorded","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","76266","TC_PE_039_Verify_Edit_Jaundice_After_Summary","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","48417","TC_30_Verify_Hip_Circumference_Required_Validation","chromium","2026-09-09","passed","2026-09-09","Start Visit Module","StartVisit.spec.js","",""
"","39026","TC_PE_045_Verify_Consistent_Flow_Across_Roles","chromium","2026-09-09","passed","2026-09-09","Physical Examination Module - Full Test Suite","StartVisit_PhysicalExamination.spec.js","",""
"","37766","TC_03_Verify_Weight_Input_Attributes","chromium","2026-09-09","passed","2026-09-09","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","111327","MH_016_Verify_Confirm_Button_Visible","chromium","2026-09-09","passed","2026-09-09","Medical History Module - Full Test Suite","StartVisit_MedicalHistory.spec.js","",""
"","49015","TC_AD_008_Verify_Associated_Symptoms_All_No_Advances","chromium","2026-09-09","passed","2026-09-09","Abdominal Distention Protocol - Full Test Suite","Protocol_AbdominalDistention.spec.js","",""
