"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32949","TC_02_Verify_Height_Input_Attributes","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","36835","TC_46_Verify_BMI_Status","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","41848","TC_17_Verify_Complete_Vitals_Flow","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","19695","TC04 - Valid Mobile Number","chromium","2026-08-14","failed","2026-08-14","Forgot Password Module","ForgetPassword.spec.js","",""
"","34003","TC_36_Verify_BMI_After_Multiple_Updates","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","41824","TC_24_Verify_Weight_Required_Validation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32138","TC_25_Verify_Blood_Group_Selection_Persists","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","38219","TC_14_Verify_HbA1c","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","42390","TC_55_Verify_All_Required_Errors_Clear_After_Entering_Values","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","38368","TC_63_Verify_BMI_Recalculation_With_Multiple_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37301","TC_08_Verify_Respiratory_Rate","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","14066","TC_10_Verify_Village_Town_City_Field","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","32041","TC_30_Verify_Vitals_Input_Names","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","12772","TC_12_Verify_Corresponding_Address2_Field","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","37237","TC_56_Verify_BMI_Status_Underweight","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","33827","TC_13_Verify_WHR_Calculation","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","33525","TC_10_Verify_BMI_Recalculates_When_Height_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","37941","TC_61_Verify_WHR_Clears_When_Waist_Is_Cleared","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","42032","TC_26_Verify_Respiratory_Rate_Required_Validation","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","5730","Login with blank username and password","chromium","2026-08-14","passed","2026-08-14","Login Module","Loginpage.spec.js","",""
"","13003","TC_13_Verify_Contact_Type_Selection","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","20928","TC_16_Verify_Successful_Patient_Creation","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","41208","TC_41_Verify_Optional_Vital_Fields","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","31170","TC_06_Verify_BMI_Normal_Category","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","48129","TC_59_Verify_BMI_Clears_When_Height_Is_Cleared","chromium","2026-08-14","failed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32878","TC_18_Verify_Temperature_Accepts_Decimal","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","32969","TC_29_Verify_WHR_After_Clearing_Hip","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","19758","TC03 - Invalid Username","chromium","2026-08-14","failed","2026-08-14","Forgot Password Module","ForgetPassword.spec.js","",""
"","39279","TC_71_Verify_Blood_Group_Can_Be_Reset_To_Default","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","12937","TC_07_Verify_Country_Selection","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","38522","TC_05_Verify_Pulse","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37947","TC_72_Verify_Height_Decimal_Precision","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","37632","TC_69_Verify_FBS_Can_Be_Entered_And_Cleared","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","33404","TC_38_Verify_BMI_Direct_Input_Is_Not_Allowed","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","12469","TC_15_Verify_Education_Selection","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","42861","TC_19_Verify_Other_Visit_Reason","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","60886","TC_23_Verify_WHR_Cannot_Be_Manually_Edited","chromium","2026-08-14","broken","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","41030","TC_75_Verify_Next_Proceeds_After_Required_Fields_Are_Valid","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","36868","TC_01_Verify_Start_Visit_Screen","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","12712","TC_14_Verify_Next_Button_Enabled","chromium","2026-08-14","passed","2026-08-14","Patient Creation Module","PatientCreation.spec.js","",""
"","38106","TC_57_Verify_BMI_Status_Overweight","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","39809","TC_44_Verify_Decimal_Height_And_Weight","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","61118","TC_47_Verify_BMI_Cannot_Be_Manually_Edited","chromium","2026-08-14","broken","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","33771","TC_09_Verify_BMI_Obese_Category","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","33851","TC_45_Verify_WHR_Is_Automatically_Generated","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","36950","TC_36_Verify_BMI_Updates_When_Weight_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32574","TC_19_Verify_HbA1c_Accepts_Decimal","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","43184","TC_20_Verify_Start_Assessment","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
"","32214","TC_11_Verify_BMI_Recalculates_When_Weight_Changes","chromium","2026-08-14","passed","2026-08-14","Start Visit - Vitals Module","StartVisit_Vitals.spec.js","",""
"","5742","Login with invalid username","chromium","2026-08-14","passed","2026-08-14","Login Module","Loginpage.spec.js","",""
"","43336","TC_22_Verify_Each_Required_Field_Error_Message","chromium","2026-08-14","passed","2026-08-14","Start Visit Module","StartVisit.spec.js","",""
